periode_data,semester,wilayah,kecamatan,kelurahan,jenis_layanan,nilai_indeks
202306,1,Kota Administrasi Jakarta Barat, Cengkareng,Kapuk,Ketertiban Umum,97.1
202306,1,Kota Administrasi Jakarta Barat, Cengkareng,Kedaung Kali Angke,Ketertiban Umum,87.62
202306,1,Kota Administrasi Jakarta Barat, Cengkareng,Rawa Buaya,Ketertiban Umum,88.52
202306,1,Kota Administrasi Jakarta Barat, Grogol Petamburan,Grogol,Ketertiban Umum,93.3
202306,1,Kota Administrasi Jakarta Barat, Grogol Petamburan,Jelambar,Ketertiban Umum,88.02
202306,1,Kota Administrasi Jakarta Barat, Grogol Petamburan,Jelambar Baru,Ketertiban Umum,90.65
202306,1,Kota Administrasi Jakarta Barat, Grogol Petamburan,Tanjung Duren Selatan,Ketertiban Umum,95.94
202306,1,Kota Administrasi Jakarta Barat, Grogol Petamburan,Tanjung Duren Utara,Ketertiban Umum,86.51
202306,1,Kota Administrasi Jakarta Barat, Grogol Petamburan,Tomang,Ketertiban Umum,89.21
202306,1,Kota Administrasi Jakarta Barat, Grogol Petamburan,Wijaya Kusuma,Ketertiban Umum,90.99
202306,1,Kota Administrasi Jakarta Barat, Kali Deres,Kalideres,Ketertiban Umum,86.6
202306,1,Kota Administrasi Jakarta Barat, Kali Deres,Kamal,Ketertiban Umum,97.25
202306,1,Kota Administrasi Jakarta Barat, Kali Deres,Pegadungan,Ketertiban Umum,91.93
202306,1,Kota Administrasi Jakarta Barat, Kali Deres,Semanan,Ketertiban Umum,95.29
202306,1,Kota Administrasi Jakarta Barat, Kali Deres,Tegal Alur,Ketertiban Umum,86.77
202306,1,Kota Administrasi Jakarta Barat, Kebon Jeruk,Duri Kepa,Ketertiban Umum,85.11
202306,1,Kota Administrasi Jakarta Barat, Kebon Jeruk,Kebon Jeruk,Ketertiban Umum,93.75
202306,1,Kota Administrasi Jakarta Barat, Kebon Jeruk,Kedoya Selatan,Ketertiban Umum,92.81
202306,1,Kota Administrasi Jakarta Barat, Kebon Jeruk,Kedoya Utara,Ketertiban Umum,96.11
202306,1,Kota Administrasi Jakarta Barat, Kebon Jeruk,Kelapa Dua,Ketertiban Umum,88.72
202306,1,Kota Administrasi Jakarta Barat, Kebon Jeruk,Sukabumi Selatan,Ketertiban Umum,95.41
202306,1,Kota Administrasi Jakarta Barat, Kebon Jeruk,Sukabumi Utara,Ketertiban Umum,90.16
202306,1,Kota Administrasi Jakarta Barat, Kembangan,Joglo,Ketertiban Umum,87.35
202306,1,Kota Administrasi Jakarta Barat, Kembangan,Kembangan Selatan,Ketertiban Umum,93.96
202306,1,Kota Administrasi Jakarta Barat, Kembangan,Kembangan Utara,Ketertiban Umum,85.42
202306,1,Kota Administrasi Jakarta Barat, Kembangan,Meruya Selatan,Ketertiban Umum,93.88
202306,1,Kota Administrasi Jakarta Barat, Kembangan,Meruya Utara,Ketertiban Umum,94.09
202306,1,Kota Administrasi Jakarta Barat, Kembangan,Srengseng,Ketertiban Umum,87.66
